key,mean,std,min,max,skew,kurt,trend_slope,max_drawdown,std_cm,skew_cm,kurt_cm,trend_slope_cm,max_drawdown_cm,date,stock_id
20210316-8085,16.179,1.7016361407643992,14.59,18.54,0.4892155566129538,-1.573125440978694,0.5175151515151516,-0.014794889038332136,中等波動,分布略偏右,分布平坦（較均勻）,明顯上升,股價一路上漲,20210316,8085
20210317-3228,476.36499999999995,14.049836891105414,456.87,499.55,0.7176038504326129,-0.5916736376207479,1.6638181818181839,-0.08543689320388351,高波動,分布略偏右,接近常態,明顯上升,股價小幅回調,20210317,3228
20210317-3545,130.929,11.405611143448452,117.86,149.67,0.7739414797354267,-1.081192327701148,2.7681818181818167,-0.09121751869843472,高波動,分布略偏右,分布平坦（較均勻）,明顯上升,股價小幅回調,20210317,3545
20210317-6150,111.12,7.1618262723662545,102.81,127.99,1.5626189405532669,1.1346131703520363,1.9328484848484837,-0.049010791366906496,高波動,分布明顯右偏（偶爾有高價）,常有極端值,明顯上升,股價一路上漲,20210317,6150
20210318-5452,25.153,1.5220968723733994,22.39,27.63,-0.19721838055922278,-0.43430770381105654,0.08696969696969702,-0.18964893231994204,中等波動,分布接近對稱,接近常態,略有上升,股價有明顯跌幅,20210318,5452
20210318-6129,39.933,2.141074756077213,36.34,44.08,0.2631120489042886,-0.06822954624498045,-0.12369696969696992,-0.17558983666061695,中等波動,分布接近對稱,接近常態,略有下降,股價有明顯跌幅,20210318,6129
20210318-8040,56.001,3.99806189157808,48.86,60.95,-0.344690572737779,-1.0247696946028184,0.518484848484849,-0.18823724871241068,高波動,分布略偏左,分布平坦（較均勻）,明顯上升,股價有明顯跌幅,20210318,8040
20210319-2718,35.93,2.260186816270823,33.7,39.95,1.224270167160309,-0.34307226462695617,-0.46848484848484884,-0.15644555694618273,中等波動,分布明顯右偏（偶爾有高價）,接近常態,明顯下降,股價有明顯跌幅,20210319,2718
20210319-5302,12.73,1.5180762680298894,11.05,15.7,0.6654571266928322,-0.5276908364859247,0.3236363636363637,-0.16917293233082706,中等波動,分布略偏右,接近常態,明顯上升,股價有明顯跌幅,20210319,5302
20210319-6516,114.149,7.840719142187571,106.37,129.48,0.8496556606091793,-0.617693857263752,2.2365454545454533,-0.03335150854234825,高波動,分布略偏右,接近常態,明顯上升,股價一路上漲,20210319,6516
20210319-6594,46.214,2.2722343384626718,43.92,49.8,0.4901105539925099,-1.3301688918100052,0.4795151515151518,-0.08040201005025119,中等波動,分布略偏右,分布平坦（較均勻）,明顯上升,股價小幅回調,20210319,6594
20210322-2457,28.554000000000002,4.637871159151458,23.77,37.81,1.053364147494502,-0.43335576870363957,1.4409696969696972,0.0,高波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價一路上漲,20210322,2457
20210322-2491,22.321,1.440373794078006,19.8,25.16,0.33744188737201286,0.1189195848688529,0.35884848484848475,-0.08365508365508363,中等波動,分布略偏右,接近常態,明顯上升,股價小幅回調,20210322,2491
20210322-2609,21.124000000000002,2.707254451777054,18.42,26.26,1.0674320069262608,-0.6147334434442921,0.8158787878787881,-0.03812010443864214,中等波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價一路上漲,20210322,2609
20210322-3094,37.661,1.9775711814692711,34.94,40.66,-0.09154357671965177,-1.1138181012381916,0.5823636363636365,-0.04377766847024088,中等波動,分布接近對稱,分布平坦（較均勻）,明顯上升,股價一路上漲,20210322,3094
20210322-3268,28.255000000000003,2.886197998905983,25.0,33.34,0.5886364011657716,-0.9282140374639378,0.9010303030303031,-0.014972419227738338,中等波動,分布略偏右,接近常態,明顯上升,股價一路上漲,20210322,3268
20210322-4961,383.317,28.79619073959454,352.03,440.03,1.0331772905324412,-0.28260525313967433,8.501878787878791,-0.02877558903051373,高波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價一路上漲,20210322,4961
20210322-6716,106.08599999999998,4.2947492489214225,98.98,111.6,-0.36645931703169643,-1.2195034341861315,1.1713939393939392,-0.04487117630029906,高波動,分布略偏左,分布平坦（較均勻）,明顯上升,股價一路上漲,20210322,6716
20210322-8054,46.741,4.2224070281192825,42.6,54.4,0.7407524312808887,-1.0235413194857226,1.3200606060606062,-0.017301038062283735,高波動,分布略偏右,分布平坦（較均勻）,明顯上升,股價一路上漲,20210322,8054
20210323-2489,16.468,0.8551647014854308,15.33,17.55,-0.22499586287337806,-1.4807132415426512,0.2713939393939396,-0.012242268041237082,低波動,分布接近對稱,分布平坦（較均勻）,明顯上升,股價一路上漲,20210323,2489
20210323-3122,43.373000000000005,5.209073387422715,34.77,51.7,-0.21576206071848222,-0.9584255378682061,1.6653939393939392,0.0,高波動,分布接近對稱,接近常態,明顯上升,股價一路上漲,20210323,3122
20210323-3276,17.068,1.0079880951677977,16.11,19.41,1.465372174528056,0.8938608019365808,0.23793939393939423,-0.0655452436194895,中等波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價小幅回調,20210323,3276
20210323-5205,11.519,4.589970830214743,7.6,19.85,1.0802191560273915,-0.8991703232938888,1.1495151515151514,-0.21487603305785125,高波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價有明顯跌幅,20210323,5205
20210323-5452,26.656,3.3027941033144765,22.39,32.38,0.733507643546051,-0.7863047504726826,1.0366060606060608,-0.04390243902439032,高波動,分布略偏右,接近常態,明顯上升,股價一路上漲,20210323,5452
20210323-5608,14.312999999999999,0.743969085379224,13.06,15.6,0.3132245921752082,-0.31379511788625747,0.21339393939393936,-0.04041146216017626,低波動,分布略偏右,接近常態,明顯上升,股價一路上漲,20210323,5608
20210323-6129,41.874,4.863019638043834,36.34,50.94,1.0426876854526435,-0.5602525688486533,1.4820606060606059,-0.016891064871481145,高波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價一路上漲,20210323,6129
20210323-6283,65.31,5.997860729738009,59.5,74.8,0.7413649294926551,-1.3295180500253352,1.695151515151515,-0.04186795491143319,高波動,分布略偏右,分布平坦（較均勻）,明顯上升,股價一路上漲,20210323,6283
20210323-8040,58.891,6.596120829699833,48.86,68.83,0.15211545088565437,-0.99080914168001,2.123090909090909,-0.021985233798195298,高波動,分布接近對稱,接近常態,明顯上升,股價一路上漲,20210323,8040
20210324-2399,30.075,4.820367090677732,25.06,36.84,0.2839488616154605,-1.6072703248225408,1.4683030303030309,-0.06650380021715534,高波動,分布接近對稱,分布平坦（較均勻）,明顯上升,股價小幅回調,20210324,2399
20210324-2415,35.515,1.7151757279584454,34.06,39.4,1.470630510148502,0.5032540876304727,0.47678787878787876,-0.012180974477958082,中等波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價一路上漲,20210324,2415
20210324-2718,33.864999999999995,1.7130301288133332,30.0,35.95,-1.2837374032731312,0.6054202663279051,-0.4045454545454551,-0.16550764951321287,中等波動,分布明顯左偏（偶爾有低價）,接近常態,明顯下降,股價有明顯跌幅,20210324,2718
20210324-3288,30.598000000000003,2.489755900574279,27.87,35.5,1.2205244734395768,-0.2255394930683816,0.6847272727272726,-0.0525615435795076,中等波動,分布明顯右偏（偶爾有高價）,接近常態,明顯上升,股價小幅回調,20210324,3288
20210324-3294,28.519,1.1055260185892402,26.5,30.05,-0.28035798220736,-0.7235467831911442,-0.039939393939393886,-0.11813643926788688,中等波動,分布接近對稱,接近常態,趨勢相對平穩,股價有明顯跌幅,20210324,3294
20210324-3383,5.215,0.26692695630078317,4.91,5.61,-0.007514594932689699,-1.5541821415136274,-0.07884848484848488,-0.12477718360071303,低波動,分布接近對稱,分布平坦（較均勻）,略有下降,股價有明顯跌幅,20210324,3383
20210325-2491,23.467,1.9152432395564454,21.36,27.02,0.7587476038862938,-0.8479003127561868,0.5061212121212122,-0.12657290895632858,中等波動,分布略偏右,接近常態,明顯上升,股價有明顯跌幅,20210325,2491
20210325-2929,9.437999999999999,1.0294745153610059,7.86,11.45,0.5386718862829897,-0.2926382776854255,0.14921212121212118,-0.21399999999999997,中等波動,分布略偏右,接近常態,略有上升,股價有明顯跌幅,20210325,2929
