公布日期,證券代號,證券名稱,處置起始,處置結束,處置營業日數,撮合頻率(分鐘),開盤價,收盤價,short_return,公布日期_date,證券代號_str,broker_brought
2024-03-27,4127,天良,2024-03-28,2024-04-12,10,20,32.7,32.75,-0.0015,2024-03-27,4127,
2024-03-28,1616,億泰,2024-03-29,2024-04-15,10,5,23.15,21.9,0.054,2024-03-28,1616,
2024-03-28,5314,世紀,2024-03-29,2024-04-15,10,20,404.5,365.0,0.0977,2024-03-28,5314,
2024-03-29,8089,康全電訊,2024-04-01,2024-04-16,10,20,63.1,67.2,-0.065,2024-03-29,8089,
2024-04-02,6197,佳必琪,2024-04-03,2024-04-18,10,5,151.5,155.5,-0.0264,2024-04-02,6197,
2024-04-03,3629,地心引力,2024-04-08,2024-04-19,10,10,30.7,32.4,-0.0554,2024-04-03,3629,
2024-04-03,4198,欣大健康,2024-04-08,2024-04-19,10,5,51.2,51.2,0.0,2024-04-03,4198,
2024-04-03,4909,新復興,2024-04-08,2024-04-19,10,20,95.8,96.6,-0.0084,2024-04-03,4909,
2024-04-03,7402,邑錡,2024-04-08,2024-04-23,12,5,130.0,128.5,0.0115,2024-04-03,7402,
2024-04-08,2359,所羅門,2024-04-09,2024-04-22,10,20,98.0,105.5,-0.0765,2024-04-08,2359,
2024-04-08,6139,亞翔,2024-04-09,2024-04-24,12,5,288.0,290.5,-0.0087,2024-04-08,6139,
2024-04-09,1587,吉茂,2024-04-10,2024-04-23,10,5,43.88,38.96,0.1121,2024-04-09,1587,
2024-04-09,6187,萬潤,2024-04-10,2024-04-23,10,20,280.5,271.0,0.0339,2024-04-09,6187,
2024-04-10,4198,欣大健康,2024-04-11,2024-04-24,10,20,57.0,53.6,0.0596,2024-04-10,4198,
2024-04-10,6207,雷科,2024-04-11,2024-04-24,10,5,59.0,56.6,0.0407,2024-04-10,6207,
2024-04-11,3466,德晉,2024-04-12,2024-04-25,10,5,36.6,38.2,-0.0437,2024-04-11,3466,
2024-04-11,3555,博士旺,2024-04-12,2024-04-25,10,5,39.1,39.3,-0.0051,2024-04-11,3555,
2024-04-11,4304,勝昱,2024-04-12,2024-04-25,10,45,5.4,5.42,-0.0037,2024-04-11,4304,
2024-04-12,2363,矽統,2024-04-15,2024-04-26,10,5,59.9,61.4,-0.025,2024-04-12,2363,
2024-04-12,4192,杏國,2024-04-15,2024-04-26,10,5,53.4,52.0,0.0262,2024-04-12,4192,
2024-04-12,6949,沛爾生醫-創,2024-04-15,2024-04-26,10,5,130.0,125.0,0.0385,2024-04-12,6949,
2024-04-15,1453,大將,2024-04-16,2024-04-29,10,5,23.9,24.8,-0.0377,2024-04-15,1453,
2024-04-15,1514,亞力,2024-04-16,2024-05-02,12,5,179.5,175.0,0.0251,2024-04-15,1514,
2024-04-15,4533,協易機,2024-04-16,2024-04-29,10,5,40.25,38.85,0.0348,2024-04-15,4533,
2024-04-16,2724,藝舍-KY,2024-04-17,2024-04-30,10,10,32.65,30.0,0.0812,2024-04-16,2724,
2024-04-16,3060,銘異,2024-04-17,2024-04-30,10,5,29.5,27.9,0.0542,2024-04-16,3060,
2024-04-16,3609,三一東林,2024-04-17,2024-04-30,10,5,41.0,38.5,0.061,2024-04-16,3609,
2024-04-17,8077,洛碁,2024-04-18,2024-05-02,10,5,79.3,78.7,0.0076,2024-04-17,8077,
2024-04-18,1570,力肯,2024-04-19,2024-05-03,10,5,28.0,28.05,-0.0018,2024-04-18,1570,
2024-04-18,6283,淳安,2024-04-19,2024-05-03,10,5,34.2,33.5,0.0205,2024-04-18,6283,
2024-04-19,4588,玖鼎電力,2024-04-22,2024-05-06,10,5,140.0,137.0,0.0214,2024-04-19,4588,
2024-04-19,4768,晶呈科技,2024-04-22,2024-05-06,10,5,279.0,270.0,0.0323,2024-04-19,4768,
2024-04-19,9955,佳龍,2024-04-22,2024-05-06,10,5,38.5,38.5,0.0,2024-04-19,9955,
2024-04-22,1617,榮星,2024-04-23,2024-05-07,10,5,30.6,27.0,0.1176,2024-04-22,1617,
2024-04-22,5314,世紀,2024-04-23,2024-05-07,10,20,280.0,252.5,0.0982,2024-04-22,5314,
2024-04-22,8420,明揚,2024-04-23,2024-05-07,10,10,40.6,40.2,0.0099,2024-04-22,8420,
2024-04-24,3228,金麗科,2024-04-25,2024-05-09,10,20,306.5,306.0,0.0016,2024-04-24,3228,
2024-04-25,5314,世紀,2024-04-26,2024-05-10,10,20,251.0,239.0,0.0478,2024-04-25,5314,
2024-04-26,6199,天品,2024-04-29,2024-05-13,10,5,32.5,32.0,0.0154,2024-04-26,6199,
2024-04-29,2745,五福,2024-04-30,2024-05-14,10,5,127.0,119.0,0.063,2024-04-29,2745,
2024-04-30,6264,富裔,2024-05-02,2024-05-15,10,5,16.95,16.95,0.0,2024-04-30,6264,
2024-04-30,6425,易發,2024-05-02,2024-05-15,10,5,91.6,93.0,-0.0153,2024-04-30,6425,
2024-05-02,3234,光環,2024-05-03,2024-05-16,10,5,49.45,50.6,-0.0233,2024-05-02,3234,
2024-05-02,6230,尼得科超眾,2024-05-03,2024-05-16,10,20,318.0,334.0,-0.0503,2024-05-02,6230,
2024-05-02,6552,易華電,2024-05-03,2024-05-20,12,5,49.5,49.5,0.0,2024-05-02,6552,
2024-05-03,5301,寶得利,2024-05-06,2024-05-17,10,10,13.1,12.55,0.042,2024-05-03,5301,
2024-05-07,8906,花王,2024-05-08,2024-05-21,10,5,29.7,31.75,-0.069,2024-05-07,8906,
2024-05-07,8996,高力,2024-05-08,2024-05-23,12,5,415.0,409.0,0.0145,2024-05-07,8996,
2024-05-08,3466,德晉,2024-05-09,2024-05-22,10,20,58.6,57.1,0.0256,2024-05-08,3466,
2024-05-08,6442,光聖,2024-05-09,2024-05-24,12,5,170.5,168.5,0.0117,2024-05-08,6442,
2024-05-09,6419,京晨科,2024-05-10,2024-05-23,10,5,94.1,94.1,0.0,2024-05-09,6419,
2024-05-13,4303,信立,2024-05-14,2024-05-27,10,5,50.1,47.9,0.0439,2024-05-13,4303,
2024-05-13,4562,穎漢,2024-05-14,2024-05-27,10,5,29.65,29.45,0.0067,2024-05-13,4562,
2024-05-15,2615,萬海,2024-05-16,2024-05-31,12,5,69.0,70.5,-0.0217,2024-05-15,2615,
2024-05-16,2609,陽明,2024-05-17,2024-05-30,10,5,72.0,74.1,-0.0292,2024-05-16,2609,
2024-05-16,6419,京晨科,2024-05-17,2024-05-30,10,20,131.0,131.0,0.0,2024-05-16,6419,
2024-05-16,6863,永道-KY,2024-05-17,2024-05-30,10,5,217.5,217.0,0.0023,2024-05-16,6863,
2024-05-17,6535,順藥,2024-05-20,2024-05-31,10,5,183.5,185.0,-0.0082,2024-05-17,6535,
2024-05-20,2362,藍天,2024-05-21,2024-06-03,10,5,61.0,60.4,0.0098,2024-05-20,2362,
2024-05-20,8089,康全電訊,2024-05-21,2024-06-03,10,5,94.7,97.4,-0.0285,2024-05-20,8089,
2024-05-21,6419,京晨科,2024-05-22,2024-06-04,10,20,133.0,136.5,-0.0263,2024-05-21,6419,
2024-05-21,6442,光聖,2024-05-22,2024-06-04,10,20,178.5,181.0,-0.014,2024-05-21,6442,
2024-05-21,6446,藥華藥,2024-05-22,2024-06-04,10,5,432.0,430.0,0.0046,2024-05-21,6446,
2024-05-22,2374,佳能,2024-05-23,2024-06-07,12,5,62.1,61.7,0.0064,2024-05-22,2374,
2024-05-22,3064,泰偉,2024-05-23,2024-06-05,10,5,91.3,91.3,0.0,2024-05-22,3064,
2024-05-22,5392,能率,2024-05-23,2024-06-05,10,5,42.05,43.2,-0.0273,2024-05-22,5392,
2024-05-23,8033,雷虎,2024-05-24,2024-06-06,10,5,75.7,79.7,-0.0528,2024-05-23,8033,
2024-05-23,8071,能率網通,2024-05-24,2024-06-06,10,5,22.6,21.4,0.0531,2024-05-23,8071,
2024-05-24,2359,所羅門,2024-05-27,2024-06-12,12,5,166.0,171.5,-0.0331,2024-05-24,2359,
2024-05-27,2392,正崴,2024-05-28,2024-06-11,10,5,73.3,73.9,-0.0082,2024-05-27,2392,
2024-05-27,3064,泰偉,2024-05-28,2024-06-11,10,20,108.5,97.8,0.0986,2024-05-27,3064,
2024-05-27,3363,上詮,2024-05-28,2024-06-11,10,5,159.0,155.0,0.0252,2024-05-27,3363,
