key,stock_id,T+n,date,close
20210108-4961,4961,-14,2020-12-18,119.95
20210108-4961,4961,-15,2020-12-17,120.73
20210108-4961,4961,-16,2020-12-16,109.78
20210108-4961,4961,-17,2020-12-15,112.39
20210108-4961,4961,-18,2020-12-14,102.22
20210108-4961,4961,-19,2020-12-11,92.96
20210108-4961,4961,-20,2020-12-10,84.62
20210108-4961,4961,1,2021-01-11,185.14
20210108-4961,4961,2,2021-01-12,177.32
20210108-4961,4961,3,2021-01-13,186.45
20210108-4961,4961,4,2021-01-14,202.09
20210108-4961,4961,5,2021-01-15,201.43
20210108-4961,4961,6,2021-01-18,204.04
20210108-4961,4961,7,2021-01-19,206.0
20210108-4961,4961,8,2021-01-20,185.79
20210108-4961,4961,9,2021-01-21,198.18
20210108-4961,4961,10,2021-01-22,202.09
20210111-1593,1593,0,2021-01-11,85.03
20210111-1593,1593,-1,2021-01-08,86.71
20210111-1593,1593,-2,2021-01-07,82.35
20210111-1593,1593,-3,2021-01-06,74.9
20210111-1593,1593,-4,2021-01-05,75.31
20210111-1593,1593,-5,2021-01-04,68.7
20210111-1593,1593,-6,2020-12-31,62.5
20210111-1593,1593,-7,2020-12-30,56.88
20210111-1593,1593,-8,2020-12-29,51.77
20210111-1593,1593,-9,2020-12-28,50.52
20210111-1593,1593,-10,2020-12-25,50.68
20210111-1593,1593,-11,2020-12-24,49.43
20210111-1593,1593,-12,2020-12-23,49.09
20210111-1593,1593,-13,2020-12-22,49.43
20210111-1593,1593,-14,2020-12-21,49.68
20210111-1593,1593,-15,2020-12-18,49.85
20210111-1593,1593,-16,2020-12-17,48.92
20210111-1593,1593,-17,2020-12-16,49.34
20210111-1593,1593,-18,2020-12-15,49.26
20210111-1593,1593,-19,2020-12-14,50.68
20210111-1593,1593,-20,2020-12-11,51.35
20210111-1593,1593,1,2021-01-12,93.41
20210111-1593,1593,2,2021-01-13,97.6
20210111-1593,1593,3,2021-01-14,99.69
20210111-1593,1593,4,2021-01-15,90.06
20210111-1593,1593,5,2021-01-18,90.48
20210111-1593,1593,6,2021-01-19,89.64
20210111-1593,1593,7,2021-01-20,87.96
20210111-1593,1593,8,2021-01-21,95.5
20210111-1593,1593,9,2021-01-22,103.88
20210111-1593,1593,10,2021-01-25,103.88
20210111-3086,3086,0,2021-01-11,78.96
20210111-3086,3086,-1,2021-01-08,71.81
20210111-3086,3086,-2,2021-01-07,65.29
20210111-3086,3086,-3,2021-01-06,59.42
20210111-3086,3086,-4,2021-01-05,54.01
20210111-3086,3086,-5,2021-01-04,49.17
20210111-3086,3086,-6,2020-12-31,44.72
20210111-3086,3086,-7,2020-12-30,40.67
20210111-3086,3086,-8,2020-12-29,36.98
20210111-3086,3086,-9,2020-12-28,33.64
20210111-3086,3086,-10,2020-12-25,30.58
20210111-3086,3086,-11,2020-12-24,27.8
20210111-3086,3086,-12,2020-12-23,26.21
20210111-3086,3086,-13,2020-12-22,27.01
20210111-3086,3086,-14,2020-12-21,27.72
20210111-3086,3086,-15,2020-12-18,26.21
20210111-3086,3086,-16,2020-12-17,26.61
20210111-3086,3086,-17,2020-12-16,26.37
20210111-3086,3086,-18,2020-12-15,25.89
20210111-3086,3086,-19,2020-12-14,26.57
20210111-3086,3086,-20,2020-12-11,26.41
20210111-3086,3086,1,2021-01-12,86.58
20210111-3086,3086,2,2021-01-13,77.92
20210111-3086,3086,3,2021-01-14,70.14
20210111-3086,3086,4,2021-01-15,63.15
20210111-3086,3086,5,2021-01-18,56.87
20210111-3086,3086,6,2021-01-19,62.51
20210111-3086,3086,7,2021-01-20,56.48
20210111-3086,3086,8,2021-01-21,56.56
20210111-3086,3086,9,2021-01-22,59.57
20210111-3086,3086,10,2021-01-25,63.47
20210111-3552,3552,0,2021-01-11,262.53
20210111-3552,3552,-1,2021-01-08,259.67
20210111-3552,3552,-2,2021-01-07,236.37
20210111-3552,3552,-3,2021-01-06,214.97
20210111-3552,3552,-4,2021-01-05,228.28
20210111-3552,3552,-5,2021-01-04,207.83
20210111-3552,3552,-6,2020-12-31,189.28
20210111-3552,3552,-7,2020-12-30,172.16
20210111-3552,3552,-8,2020-12-29,170.74
20210111-3552,3552,-9,2020-12-28,174.07
20210111-3552,3552,-10,2020-12-25,170.74
20210111-3552,3552,-11,2020-12-24,175.02
20210111-3552,3552,-12,2020-12-23,168.83
20210111-3552,3552,-13,2020-12-22,168.83
20210111-3552,3552,-14,2020-12-21,165.98
20210111-3552,3552,-15,2020-12-18,169.79
20210111-3552,3552,-16,2020-12-17,171.21
20210111-3552,3552,-17,2020-12-16,172.16
20210111-3552,3552,-18,2020-12-15,168.36
20210111-3552,3552,-19,2020-12-14,171.69
20210111-3552,3552,-20,2020-12-11,172.16
20210111-3552,3552,1,2021-01-12,236.37
20210111-3552,3552,2,2021-01-13,253.96
20210111-3552,3552,3,2021-01-14,246.83
20210111-3552,3552,4,2021-01-15,237.79
20210111-3552,3552,5,2021-01-18,247.31
20210111-3552,3552,6,2021-01-19,245.4
20210111-3552,3552,7,2021-01-20,240.17
20210111-3552,3552,8,2021-01-21,250.64
20210111-3552,3552,9,2021-01-22,269.18
20210111-3552,3552,10,2021-01-25,269.18
20210111-3661,3661,0,2021-01-11,806.8
20210111-3661,3661,-1,2021-01-08,779.52
20210111-3661,3661,-2,2021-01-07,777.57
20210111-3661,3661,-3,2021-01-06,711.31
20210111-3661,3661,-4,2021-01-05,707.41
20210111-3661,3661,-5,2021-01-04,665.51
20210111-3661,3661,-6,2020-12-31,605.1
20210111-3661,3661,-7,2020-12-30,601.2
20210111-3661,3661,-8,2020-12-29,592.43
20210111-3661,3661,-9,2020-12-28,591.46
20210111-3661,3661,-10,2020-12-25,593.41
20210111-3661,3661,-11,2020-12-24,601.2
20210111-3661,3661,-12,2020-12-23,584.69
20210111-3661,3661,-13,2020-12-22,590.48
20210111-3661,3661,-14,2020-12-21,625.56
20210111-3661,3661,-15,2020-12-18,613.87
20210111-3661,3661,-16,2020-12-17,597.31
20210111-3661,3661,-17,2020-12-16,600.23
20210111-3661,3661,-18,2020-12-15,572.95
20210111-3661,3661,-19,2020-12-14,590.48
20210111-3661,3661,-20,2020-12-11,582.69
20210111-3661,3661,1,2021-01-12,753.21
20210111-3661,3661,2,2021-01-13,755.16
20210111-3661,3661,3,2021-01-14,732.75
20210111-3661,3661,4,2021-01-15,774.65
20210111-3661,3661,5,2021-01-18,788.29
20210111-3661,3661,6,2021-01-19,825.31
20210111-3661,3661,7,2021-01-20,799.98
20210111-3661,3661,8,2021-01-21,872.09
20210111-3661,3661,9,2021-01-22,891.57
20210111-3661,3661,10,2021-01-25,872.09
20210111-8087,8087,0,2021-01-11,20.3
20210111-8087,8087,-1,2021-01-08,18.5
20210111-8087,8087,-2,2021-01-07,18.5
20210111-8087,8087,-3,2021-01-06,16.84
20210111-8087,8087,-4,2021-01-05,15.33
20210111-8087,8087,-5,2021-01-04,13.96
20210111-8087,8087,-6,2020-12-31,12.73
20210111-8087,8087,-7,2020-12-30,11.59
20210111-8087,8087,-8,2020-12-29,10.55
20210111-8087,8087,-9,2020-12-28,9.61
20210111-8087,8087,-10,2020-12-25,8.74
20210111-8087,8087,-11,2020-12-24,7.95
20210111-8087,8087,-12,2020-12-23,7.63
20210111-8087,8087,-13,2020-12-22,7.57
20210111-8087,8087,-14,2020-12-21,7.57
20210111-8087,8087,-15,2020-12-18,7.63
20210111-8087,8087,-16,2020-12-17,7.53
20210111-8087,8087,-17,2020-12-16,7.53
20210111-8087,8087,-18,2020-12-14,7.51
20210111-8087,8087,-19,2020-12-11,7.35
20210111-8087,8087,-20,2020-12-10,7.46
20210111-8087,8087,1,2021-01-12,20.3
20210111-8087,8087,2,2021-01-13,19.4
20210111-8087,8087,3,2021-01-14,19.68
20210111-8087,8087,4,2021-01-15,19.68
20210111-8087,8087,5,2021-01-18,19.4
20210111-8087,8087,6,2021-01-19,19.87
20210111-8087,8087,7,2021-01-20,20.2
20210111-8087,8087,8,2021-01-21,20.35
20210111-8087,8087,9,2021-01-22,19.87
20210111-8087,8087,10,2021-01-25,18.03
20210113-3138,3138,0,2021-01-13,263.57
20210113-3138,3138,-1,2021-01-12,257.08
20210113-3138,3138,-2,2021-01-11,256.15
20210113-3138,3138,-3,2021-01-08,232.95
20210113-3138,3138,-4,2021-01-07,212.06
20210113-3138,3138,-5,2021-01-06,193.04
20210113-3138,3138,-6,2021-01-05,175.87
20210113-3138,3138,-7,2021-01-04,160.09
20210113-3138,3138,-8,2020-12-31,145.71
20210113-3138,3138,-9,2020-12-30,132.71
20210113-3138,3138,-10,2020-12-29,120.65
20210113-3138,3138,-11,2020-12-28,130.39
20210113-3138,3138,-12,2020-12-25,133.64
20210113-3138,3138,-13,2020-12-24,133.18
20210113-3138,3138,-14,2020-12-23,120.59
20210113-3138,3138,-15,2020-12-22,111.83
20210113-3138,3138,-16,2020-12-21,109.51
20210113-3138,3138,-17,2020-12-18,99.77
20210113-3138,3138,-18,2020-12-17,90.95
20210113-3138,3138,-19,2020-12-16,84.64
20210113-3138,3138,-20,2020-12-15,84.45
20210113-3138,3138,1,2021-01-14,250.58
20210113-3138,3138,2,2021-01-15,225.52
20210113-3138,3138,3,2021-01-18,203.25
20210113-3138,3138,4,2021-01-19,205.1
20210113-3138,3138,5,2021-01-20,195.82
20210113-3138,3138,6,2021-01-21,215.31
20210113-3138,3138,7,2021-01-22,236.66
20210113-3138,3138,8,2021-01-25,250.58
20210113-3138,3138,9,2021-01-26,246.87
