combination,remark,count,mean_avg_monthly_return
202103-202112,loser,14,-0.010968902418330286
202103-202112,winner,14,-0.042082677366025334
202103-202112,winner - loser,-,-0.031113774947695048
202104-202201,loser,14,-0.0187669336690159
202104-202201,winner,14,-0.04858755227743316
202104-202201,winner - loser,-,-0.029820618608417258
202105-202202,loser,14,-0.016627734469237796
202105-202202,winner,14,-0.025921861232768215
202105-202202,winner - loser,-,-0.00929412676353042
202106-202203,loser,14,-0.012252684415737616
202106-202203,winner,14,-0.025345966122665937
202106-202203,winner - loser,-,-0.013093281706928321
202107-202204,loser,14,-0.013986848259982658
202107-202204,winner,14,-0.023101020235004432
202107-202204,winner - loser,-,-0.009114171975021774
202108-202205,loser,14,-0.008066003155109145
202108-202205,winner,14,-0.008779379016322848
202108-202205,winner - loser,-,-0.0007133758612137032
202109-202206,loser,14,-0.017738737129580462
202109-202206,winner,14,-0.0023266484768242413
202109-202206,winner - loser,-,0.015412088652756221
202110-202207,loser,14,-0.00046542759160058837
202110-202207,winner,14,0.009455533291228573
202110-202207,winner - loser,-,0.009920960882829162
202111-202208,loser,14,0.01758298340884689
202111-202208,winner,14,0.011521437108536845
202111-202208,winner - loser,-,-0.006061546300310045
202112-202209,loser,14,0.013555254178448066
202112-202209,winner,14,0.002711358350899719
202112-202209,winner - loser,-,-0.010843895827548347
202201-202210,loser,14,0.022979172828249152
202201-202210,winner,14,0.005342569850192007
202201-202210,winner - loser,-,-0.017636602978057143
202202-202211,loser,14,0.020416940023022016
202202-202211,winner,14,0.01271411171397689
202202-202211,winner - loser,-,-0.007702828309045126
202203-202212,loser,14,0.018108243259157015
202203-202212,winner,14,0.009788988584862102
202203-202212,winner - loser,-,-0.008319254674294913
202204-202301,loser,14,0.03366522700215535
202204-202301,winner,14,0.02675681451866751
202204-202301,winner - loser,-,-0.006908412483487843
202205-202302,loser,14,0.020265472762589314
202205-202302,winner,14,0.011141555043331348
202205-202302,winner - loser,-,-0.009123917719257966
202206-202303,loser,14,0.013906601318587326
202206-202303,winner,14,0.02162333576817568
202206-202303,winner - loser,-,0.007716734449588354
202207-202304,loser,14,-0.0014783716135341304
