stock_id,year_month,mean_market_value,rank
2354,2010-01,113582886256.824,36.0
2355,2010-01,9824496800.72,302.0
2356,2010-01,49436631825.904,74.0
2357,2010-01,190692900660.3884,21.0
2358,2010-01,986089000.0,741.0
2359,2010-01,2627305082.772,602.0
2360,2010-01,25055245680.14,120.0
2361,2010-01,415680342.558952,771.0
2362,2010-01,42825777268.8,81.0
2363,2010-01,14445442514.04,217.0
2364,2010-01,1427837245.78,714.0
2365,2010-01,8502751238.18,345.0
2367,2010-01,5930301453.388,418.0
2368,2010-01,6569086051.328,395.0
2369,2010-01,7016474482.232,381.0
2371,2010-01,37231619652.508,94.0
2373,2010-01,16183314311.736,193.0
2374,2010-01,22771467169.608,134.0
2375,2010-01,2348750613.702929,626.0
2376,2010-01,19830924061.3,153.0
2377,2010-01,19129236183.588,162.0
2379,2010-01,36827186815.12,95.0
2380,2010-01,3919192119.04,524.0
2382,2010-01,222800362753.636,18.0
2383,2010-01,7882108349.924,358.0
2384,2010-01,44558363363.772,76.0
2385,2010-01,44304737422.588,79.0
2387,2010-01,12174828126.128,256.0
2388,2010-01,20719810683.06,150.0
2390,2010-01,2457663451.296,616.0
2391,2010-01,11870598614.706293,264.0
2392,2010-01,27423435446.372,118.0
2393,2010-01,37412769311.476,93.0
2395,2010-01,37560168671.504,92.0
2397,2010-01,4098076119.308,510.0
2399,2010-01,3658316480.0,541.0
2401,2010-01,14965128579.252,211.0
2402,2010-01,5349984167.032,441.0
2403,2010-01,18094185760.383884,172.0
2404,2010-01,9029617037.092,324.0
2405,2010-01,8161036785.16,353.0
2406,2010-01,9482980931.24,311.0
2408,2010-01,81654787833.804,50.0
2409,2010-01,285448998510.956,13.0
2412,2010-01,643644792172.6638,4.0
2413,2010-01,2319465534.04,628.0
2414,2010-01,3018891199.288,579.0
2415,2010-01,1291134682.44,723.0
2417,2010-01,9497991912.064,309.0
2419,2010-01,3229297567.476,569.0
2420,2010-01,3945401623.076,519.0
2421,2010-01,6978729054.672,383.0
2423,2010-01,2439289495.94,617.0
2424,2010-01,654392000.0,756.0
2425,2010-01,1398878291.048,715.0
2426,2010-01,8608719083.476,337.0
2427,2010-01,2722357042.3,599.0
2428,2010-01,6132085323.032,411.0
2429,2010-01,1269457492.3728814,726.0
2430,2010-01,8305160947.428,347.0
2431,2010-01,2069860028.34,648.0
2433,2010-01,3604597490.432,545.0
2434,2010-01,2320090189.16,627.0
2436,2010-01,6230663440.0,403.0
2437,2010-01,3802707769.188,530.0
2438,2010-01,392164101.0585774,773.0
2439,2010-01,8543940128.772,343.0
2440,2010-01,1519639162.752,701.0
2441,2010-01,17045623583.016,186.0
2442,2010-01,2182403080.0,635.0
2443,2010-01,2387852111.68,621.0
2444,2010-01,1684888998.612,683.0
2448,2010-01,76963043691.948,54.0
2449,2010-01,17958196505.168,173.0
2450,2010-01,12551798399.884,247.0
2451,2010-01,38598944470.04,89.0
2452,2010-01,17770364131.45098,175.0
2453,2010-01,1568880000.0,691.0
2454,2010-01,522366764012.268,5.0
2455,2010-01,10354483099.568,291.0
2456,2010-01,4515488760.716,488.0
2457,2010-01,13021024504.265823,235.0
2458,2010-01,19743484480.596,154.0
2459,2010-01,3859065109.708,527.0
