Stock_id,Start_Date,End_Date,Start_Price,End_Price,Return,combination,rank
4958,2016-05-03,2016-10-31,66.6,71.9,0.07957957957957976,2016-05-03_2016-10-31,84
5264,2016-05-03,2016-10-31,139.5,101.5,-0.2724014336917563,2016-05-03_2016-10-31,196
2313,2016-05-03,2016-10-31,17.4,16.65,-0.04310344827586207,2016-05-03_2016-10-31,162
5522,2016-05-03,2016-10-31,37.65,36.3,-0.03585657370517932,2016-05-03_2016-10-31,155
5871,2016-05-03,2016-10-31,53.4,54.6,0.022471910112359605,2016-05-03_2016-10-31,111
2311,2016-05-03,2016-10-31,31.05,37.1,0.19484702093397746,2016-05-03_2016-10-31,40
5880,2016-05-03,2016-10-31,14.15,13.85,-0.021201413427561887,2016-05-03_2016-10-31,143
6116,2016-05-03,2016-10-31,3.67,7.91,1.1553133514986378,2016-05-03_2016-10-31,1
2308,2016-05-03,2016-10-31,146.0,166.5,0.1404109589041096,2016-05-03_2016-10-31,57
6176,2016-05-03,2016-10-31,47.2,53.3,0.1292372881355931,2016-05-03_2016-10-31,64
6239,2016-05-03,2016-10-31,65.1,90.1,0.3840245775729647,2016-05-03_2016-10-31,15
2303,2016-05-03,2016-10-31,11.65,11.75,0.008583690987124432,2016-05-03_2016-10-31,122
6269,2016-05-03,2016-10-31,72.5,89.9,0.24000000000000007,2016-05-03_2016-10-31,33
2301,2016-05-03,2016-10-31,37.5,45.3,0.20799999999999993,2016-05-03_2016-10-31,37
6285,2016-05-03,2016-10-31,83.1,87.9,0.0577617328519857,2016-05-03_2016-10-31,95
4904,2016-05-03,2016-10-31,74.0,74.6,0.00810810810810803,2016-05-03_2016-10-31,123
2912,2016-05-03,2016-10-31,224.0,236.0,0.05357142857142857,2016-05-03_2016-10-31,98
3706,2016-05-03,2016-10-31,22.5,29.9,0.32888888888888884,2016-05-03_2016-10-31,21
3702,2016-05-03,2016-10-31,34.4,37.0,0.07558139534883726,2016-05-03_2016-10-31,88
2915,2016-05-03,2016-10-31,44.05,50.9,0.15550510783200913,2016-05-03_2016-10-31,52
3008,2016-05-03,2016-10-31,2295.0,3735.0,0.6274509803921569,2016-05-03_2016-10-31,9
2353,2016-05-03,2016-10-31,11.2,14.5,0.2946428571428572,2016-05-03_2016-10-31,26
3019,2016-05-03,2016-10-31,23.35,29.1,0.24625267665952888,2016-05-03_2016-10-31,32
3034,2016-05-03,2016-10-31,110.0,118.5,0.07727272727272727,2016-05-03_2016-10-31,86
2352,2016-05-03,2016-10-31,10.05,13.3,0.3233830845771144,2016-05-03_2016-10-31,23
