"編號","證券代號","證券名稱","累計次數","注意交易資訊","日期","收盤價","本益比",
"852","1795","美時","10","最近六個營業日累積收盤價漲幅達25.18%。且03月02日之成交量為最近六十個營業日日平均成交量之6.56倍﹝第三款﹞。且03月02日之週轉率為11.53%﹝第四款﹞。","111.03.02","118.00    ","21.07     ",
"852","2032","新鋼","10","最近六個營業日累積收盤價漲幅達27.29%。且03月02日之成交量為最近六十個營業日日平均成交量之18.73 倍﹝第三款﹞。且03月02日之週轉率為33.30%﹝第四款﹞。","111.03.02","31.55     ","22.38     ",
"852","2033","佳大","10","最近六個營業日平均成交量較最近六十個營業日之日平均成交量放大為5.42倍。當日之成交量較最近六十個營業日之平均成交量放大為 23.13倍﹝第九款﹞。","111.03.02","20.75     ","79.81     ",
"852","2497","怡利電","10","最近九十個營業日起迄兩個營業日之收盤價漲幅達249.39% ﹝第二款﹞。","111.03.02","116.00    ","725.00    ",
"852","2618","長榮航","10",="03月01日之最近六個營業日之當日沖銷成交量占最近六個營業日總成交量比率63.12%，且03月01日當日沖銷成交量占該日總成交量比率67.24%﹝第十三款﹞","111.03.02","31.40     ","-----     ",
"852","3035","智原","10","最近六個營業日累積收盤價漲幅達26.11%。且六個營業日起迄兩個營業日收盤價價差達73.50 元﹝第一款﹞。且03月02日之週轉率為27.49%﹝第四款﹞。","111.03.02","307.00    ","66.02     ",
"852","4148","全宇生技-KY","10","最近六個營業日累積收盤價漲幅達28.30%。且03月02日之成交量為最近六十個營業日日平均成交量之10.80 倍﹝第三款﹞。","111.03.02","55.50     ","23.13     ",
"852","9105","泰金寶-DR","10","公開資訊觀測站公告當日之前一個營業日臺灣存託憑證兩地收盤價溢價82.30 % ﹝第八款﹞。","111.03.02","4.51      ","-----     ",
"852","911608","明輝-DR","10","公開資訊觀測站公告當日之前一個營業日臺灣存託憑證兩地收盤價溢價55.96 % 且當日收盤價為最近六個營業日收盤價最高者﹝第八款﹞。","111.03.02","3.45      ","-----     ",
"853","1435","中福","10","最近六個營業日累積收盤價漲幅達33.73%﹝第一款﹞。","111.03.01","53.00     ","-----     ",
"853","2030","彰源","10","最近六個營業日之累積週轉率為69.42%。且03月01日之週轉率為15.01%﹝第十款﹞。","111.03.01","33.35     ","10.72     ",
"853","2032","新鋼","10","最近六個營業日累積收盤價漲幅達30.64%。且03月01日元大證券商買進之比率為95.05%﹝第五款﹞。","111.03.01","29.60     ","20.99     ",
